,park,count,address,longtitude,latitude
0,북면수변생태공원,150,경남 창원시 의창구 북면 외산리 108,128.609790815343,35.3805879621255
1,창원해양공원,145,경남 창원시 진해구 명동로 62,128.719347539462,35.0921817074027
2,장미공원,69,경남 창원시 성산구 가음동 31,128.690275383692,35.2074243862455
3,용지공원,52,경남 창원시 의창구 용지로169번길 26,128.681022931214,35.2320799258082
5,진해내수면환경생태공원,37,경남 창원시 진해구 여명로71번길 65,128.660005160088,35.1640346085716
6,가포해안변공원,34,경남 창원시 마산합포구 가포동 산 82,128.589396857646,35.1583373818969
7,창원단감테마공원,30,경남 창원시 의창구 동읍 화양리 680,128.663353338049,35.2985613214767
8,제황산공원,23,경남 창원시 진해구 제황산동 28-5,128.664434312791,35.1476322490856
9,사화공원,14,경남 창원시 의창구 중동 145,128.627755158373,35.2522724542047
10,본포수변생태공원,5,경남 창원시 의창구 동읍 본포리,128.649454269739,35.3658963163472
11,창원수목원,3,경남 창원시 의창구 삼동동 산 14-1,128.655821825524,35.2281312529098
12,만날공원,2,경남 창원시 마산합포구 산호동 247,128.581540595384,35.2141323947341
13,산호공원,2,경남 창원시 마산합포구 월영동 306,128.548412673191,35.1842878865456
14,장복산공원,2,경남 창원시 진해구 태백동 산 52-1,128.668154472564,35.1731382435751
15,대산플라워랜드,1,경남 창원시 의창구 대산면 모산리 4-10,128.716937256389,35.3562964732157
16,삼계근린공원,1,경남 창원시 마산회원구 내서읍 광려로 8,128.503100300431,35.2260903004507
